ORD000026,2024-08-15,C0026,Customer 0026,P010,Standing Desk,Furniture,North,3,390.00,0.05,1111.50,750.00,361.50
ORD000027,2024-08-23,C0027,Customer 0027,P012,Monitor 27 Inch,Electronics,South,2,310.00,0.10,558.00,410.00,148.00
ORD000028,2024-09-01,C0028,Customer 0028,P008,Smart Watch,Accessories,East,4,180.00,0.15,612.00,420.00,192.00
ORD000029,2024-09-09,C0029,Customer 0029,P015,Printer,Office Supplies,West,2,240.00,0.00,480.00,310.00,170.00
ORD000030,2024-09-17,C0030,Customer 0030,P002,Laptop Air 13,Electronics,Central,1,780.00,0.10,702.00,520.00,182.00
ORD000031,2024-09-25,C0031,Customer 0031,P007,Bluetooth Speaker,Accessories,North,5,85.00,0.05,403.75,225.00,178.75
ORD000032,2024-10-03,C0032,Customer 0032,P016,External SSD,Electronics,South,4,140.00,0.15,476.00,328.00,148.00
ORD000033,2024-10-11,C0033,Customer 0033,P005,Tablet Pro,Electronics,East,3,450.00,0.10,1215.00,900.00,315.00
ORD000034,2024-10-19,C0034,Customer 0034,P013,Keyboard Mechanical,Accessories,West,2,95.00,0.00,190.00,104.00,86.00
ORD000035,2024-10-27,C0035,Customer 0035,P009,Office Chair,Furniture,Central,4,220.00,0.05,836.00,540.00,296.00
ORD000036,2024-11-04,C0036,Customer 0036,P020,Power Bank,Accessories,North,6,60.00,0.10,324.00,186.00,138.00
ORD000037,2024-11-12,C0037,Customer 0037,P003,Smartphone X,Electronics,South,3,620.00,0.15,1581.00,1230.00,351.00
ORD000038,2024-11-20,C0038,Customer 0038,P018,Desk Lamp,Office Supplies,East,2,55.00,0.05,104.50,56.00,48.50
ORD000039,2024-11-28,C0039,Customer 0039,P006,Wireless Headphones,Accessories,West,4,120.00,0.00,480.00,260.00,220.00
ORD000040,2024-12-06,C0040,Customer 0040,P011,Bookshelf,Furniture,Central,3,160.00,0.15,408.00,285.00,123.00
ORD000041,2024-12-14,C0041,Customer 0041,P001,Laptop Pro 14,Electronics,North,2,950.00,0.10,1710.00,1300.00,410.00
ORD000042,2024-12-22,C0042,Customer 0042,P017,Webcam HD,Accessories,South,5,75.00,0.05,356.25,190.00,166.25
ORD000043,2024-12-30,C0043,Customer 0043,P004,Smartphone Lite,Electronics,East,4,320.00,0.00,1280.00,840.00,440.00
ORD000044,2025-01-07,C0044,Customer 0044,P019,Office Supplies Kit,Office Supplies,West,3,65.00,0.10,175.50,105.00,70.50
ORD000045,2025-01-15,C0045,Customer 0045,P014,Wireless Mouse,Accessories,Central,6,45.00,0.05,256.50,132.00,124.50
ORD000046,2025-01-23,C0046,Customer 0046,P010,Standing Desk,Furniture,North,2,390.00,0.15,663.00,500.00,163.00
ORD000047,2025-01-31,C0047,Customer 0047,P012,Monitor 27 Inch,Electronics,South,5,310.00,0.10,1395.00,1025.00,370.00
ORD000048,2025-02-08,C0048,Customer 0048,P008,Smart Watch,Accessories,East,3,180.00,0.05,513.00,315.00,198.00
ORD000049,2025-02-16,C0049,Customer 0049,P015,Printer,Office Supplies,West,1,240.00,0.20,192.00,155.00,37.00
ORD000050,2025-02-24,C0050,Customer 0050,P002,Laptop Air 13,Electronics,Central,2,780.00,0.00,1560.00,1040.00,520.00
ORD000051,2025-03-04,C0051,Customer 0051,P007,Bluetooth Speaker,Accessories,North,4,85.00,0.15,289.00,180.00,109.00
ORD000052,2025-03-12,C0052,Customer 0052,P016,External SSD,Electronics,South,2,140.00,0.05,266.00,164.00,102.00
ORD000053,2025-03-20,C0053,Customer 0053,P005,Tablet Pro,Electronics,East,5,450.00,0.10,2025.00,1500.00,525.00
ORD000054,2025-03-28,C0054,Customer 0054,P013,Keyboard Mechanical,Accessories,West,3,95.00,0.00,285.00,156.00,129.00
ORD000055,2025-04-05,C0055,Customer 0055,P009,Office Chair,Furniture,Central,2,220.00,0.20,352.00,270.00,82.00
ORD000056,2025-04-13,C0056,Customer 0056,P020,Power Bank,Accessories,North,5,60.00,0.05,285.00,155.00,130.00
ORD000057,2025-04-21,C0057,Customer 0057,P003,Smartphone X,Electronics,South,4,620.00,0.10,2232.00,1640.00,592.00
ORD000058,2025-04-29,C0058,Customer 0058,P018,Desk Lamp,Office Supplies,East,6,55.00,0.15,280.50,168.00,112.50
ORD000059,2025-05-07,C0059,Customer 0059,P006,Wireless Headphones,Accessories,West,2,120.00,0.05,228.00,130.00,98.00
ORD000060,2025-05-15,C0060,Customer 0060,P011,Bookshelf,Furniture,Central,4,160.00,0.10,576.00,380.00,196.00
ORD000061,2025-05-23,C0061,Customer 0061,P001,Laptop Pro 14,Electronics,North,1,950.00,0.15,807.50,650.00,157.50
ORD000062,2025-05-31,C0062,Customer 0062,P017,Webcam HD,Accessories,South,3,75.00,0.00,225.00,114.00,111.00
ORD000063,2025-06-08,C0063,Customer 0063,P004,Smartphone Lite,Electronics,East,2,320.00,0.05,608.00,420.00,188.00
ORD000064,2025-06-16,C0064,Customer 0064,P019,Office Supplies Kit,Office Supplies,West,5,65.00,0.15,276.25,175.00,101.25
ORD000065,2025-06-24,C0065,Customer 0065,P014,Wireless Mouse,Accessories,Central,4,45.00,0.10,162.00,88.00,74.00
ORD000066,2025-07-02,C0066,Customer 0066,P010,Standing Desk,Furniture,North,3,390.00,0.00,1170.00,750.00,420.00
ORD000067,2025-07-10,C0067,Customer 0067,P012,Monitor 27 Inch,Electronics,South,2,310.00,0.15,527.00,410.00,117.00
ORD000068,2025-07-18,C0068,Customer 0068,P008,Smart Watch,Accessories,East,5,180.00,0.10,810.00,525.00,285.00
